systemName;region;route;banner;abbrev;city;root;altRouteNames
deurns;DEU-SL;S1;;Hom;Homburg;deusl.s01hom;
deurns;DEU-RP;S1;;;Kaiserslautern;deurp.s01;
deurns;DEU-BW;S1;;Man;Mannheim;deubw.s01man;
deurns;DEU-HE;S1;;Hir;Hirschhorn;deuhe.s01hir;
deurns;DEU-BW;S1;;Mos;Mosbach;deubw.s01mos;
deurns;DEU-RP;S2;;;Neustadt an der Weinstraße;deurp.s02;
deurns;DEU-BW;S2;;Man;Mannheim;deubw.s02man;
deurns;DEU-HE;S2;;Hir;Hirschhorn;deuhe.s02hir;
deurns;DEU-BW;S2;;Mos;Mosbach;deubw.s02mos;
deurns;DEU-BW;S3;;Kar;Karlsruhe;deubw.s03kar;
deurns;DEU-RP;S3;;;Speyer;deurp.s03;
deurns;DEU-BW;S3;;Man;Mannheim;deubw.s03man;
deurns;DEU-RP;S4;;;Speyer;deurp.s04;
deurns;DEU-BW;S4;;Man;Mannheim;deubw.s04man;
deurns;DEU-BW;S5;;Hei;Heidelburg;deubw.s05hei;
deurns;DEU-RP;S6;;;Worms;deurp.s06;
deurns;DEU-BW;S6;;Man;Mannheim;deubw.s06man;
deurns;DEU-HE;S6;;Ben;Bensheim;deuhe.s06ben;
deurns;DEU-BW;S7;;;Schwetzingen;deubw.s07;
deurns;DEU-HE;S8;;Bur;Burstadt;deuhe.s08bur;
deurns;DEU-BW;S8;;;Mannheim;deubw.s08;
deurns;DEU-HE;S9;;Bur;Burstadt;deuhe.s09bur;
deurns;DEU-BW;S9;;;Mannheim;deubw.s09;
deurns;DEU-RP;S33;;;Germersheim;deurp.s33;
deurns;DEU-BW;S33;;;Bruchsal;deubw.s33;
deurns;DEU-RP;S44;;;Ludwigshafen;deurp.s44;
deurns;DEU-BW;S51;;;Neckargemünd;deubw.s51;
